,DateTime,Bit Box_ShYpeak(g),Surface_Total Depth(ft),Surface_Weight on Bit(klbs),Surface_Top Drive RPM(RPM),Surface_Top Drive Torque(ft-lbs)
25972,2020/11/24 07:09:54.000,12.221039101,6061.6978,46.78241,9.81152,1537.6359
25973,2020/11/24 07:09:55.000,11.849822708,6061.713,46.86517,8.40267,500.9138
25974,2020/11/24 07:09:56.000,11.478606316,6061.728,46.86968,10.11342,170.86363
25975,2020/11/24 07:09:57.000,11.107389923,6061.741,46.99561,5.04154,45.32307
25976,2020/11/24 07:09:58.000,11.239204745,6061.765,47.35434,5.10192,136.44122
25977,2020/11/24 07:09:59.000,11.371019566,6061.773,47.49128,5.28306,199.2115
25978,2020/11/24 07:10:00.000,11.502834388,6061.781,47.58828,5.0818,276.1557
25979,2020/11/24 07:10:01.000,11.634649209,6061.8047,47.83949,4.94091,891.7094
25980,2020/11/24 07:10:02.000,11.766464031,6061.82,48.19524,5.0818,1104.3184
25981,2020/11/24 07:10:03.000,12.03840546,6061.8315,48.45527,5.22268,1325.0269
25982,2020/11/24 07:10:04.000,12.310346889,6061.835,48.63569,5.02142,1395.8965
25983,2020/11/24 07:10:06.000,12.854229746,6061.8354,48.67262,4.15598,1296.679
25984,2020/11/24 07:10:07.000,13.126171175,6061.8354,48.59544,5.02142,521.1623
25985,2020/11/24 07:10:08.000,12.445016614,6061.8354,48.48176,5.18243,421.94473
25986,2020/11/24 07:10:09.000,11.763862052,6061.8354,48.23431,5.14218,385.49747
25987,2020/11/24 07:10:10.000,11.082707491,6061.846,48.03649,5.0818,41.27338
25988,2020/11/24 07:10:11.000,10.401552929,6061.858,48.03908,5.14218,199.2115
25989,2020/11/24 07:10:12.000,9.7203983679,6061.8613,48.09917,5.04154,264.00662
25990,2020/11/24 07:10:13.000,10.41290288,6061.874,47.96114,5.10192,804.6409
25991,2020/11/24 07:10:14.000,11.105407393,6061.883,48.0107,5.12205,1148.8651
25992,2020/11/24 07:10:15.000,11.797911905,6061.891,48.14863,4.92078,1345.2753
25993,2020/11/24 07:10:16.000,12.490416418,6061.891,48.20235,5.22268,1365.5238
25994,2020/11/24 07:10:17.000,13.18292093,6061.891,48.23963,4.98116,1703.6733
25995,2020/11/24 07:10:18.000,13.014455794,6061.891,48.23963,4.86041,1697.5988
25996,2020/11/24 07:10:19.000,12.845990658,6061.8994,48.03436,5.0818,458.392
25997,2020/11/24 07:10:20.000,12.677525522,6061.8994,47.86943,5.02142,504.9635
25998,2020/11/24 07:10:21.000,12.509060386,6061.912,47.80684,4.94091,116.19274
25999,2020/11/24 07:10:22.000,12.34059525,6061.918,47.83754,5.00129,16.9752
26000,2020/11/24 07:10:23.000,13.033354204,6061.9336,48.08922,5.10192,160.7394
26001,2020/11/24 07:10:24.000,13.726113159,6061.9365,48.07437,5.04154,144.5406
26002,2020/11/24 07:10:25.000,14.418872113,6061.9365,48.03966,4.98116,1713.7976
26003,2020/11/24 07:10:26.000,15.111631068,6061.946,47.83782,4.82015,942.33057
26004,2020/11/24 07:10:27.000,15.804390022,6061.958,47.92672,5.1623,1086.0947
26005,2020/11/24 07:10:28.000,14.621768765,6061.9624,47.97987,5.14218,1416.1449
26006,2020/11/24 07:10:29.000,13.439147509,6061.9707,48.17895,4.96104,1580.1576
26007,2020/11/24 07:10:30.000,12.256526252,6061.9707,48.10291,4.88053,1701.6484
26008,2020/11/24 07:10:31.000,11.073904995,6061.9707,48.00941,5.28306,470.54108
26009,2020/11/24 07:10:32.000,9.8912837388,6061.984,47.87748,4.90066,448.26776
26010,2020/11/24 07:10:33.000,10.452009778,6061.9937,47.90237,5.10192,104.04366
26011,2020/11/24 07:10:34.000,11.012735818,6061.9976,47.98416,5.0818,83.79517
26012,2020/11/24 07:10:35.000,11.573461858,6062.0015,48.03606,5.00129,97.96911
26013,2020/11/24 07:10:36.000,12.134187897,6062.0015,48.05037,4.88053,296.40417
26014,2020/11/24 07:10:37.000,12.694913937,6062.017,47.94852,4.7799,1173.1632
26015,2020/11/24 07:10:38.000,12.174621529,6062.0215,47.83305,5.1623,948.40515
26016,2020/11/24 07:10:39.000,11.654329121,6062.0356,47.92554,5.10192,1134.6912
26017,2020/11/24 07:10:40.000,11.134036712,6062.046,48.09883,4.92078,1440.4431
26018,2020/11/24 07:10:41.000,10.613744304,6062.0513,48.0784,4.96104,1565.9836
26019,2020/11/24 07:10:42.000,10.093451896,6062.054,48.02732,5.1623,1833.2635
26020,2020/11/24 07:10:43.000,10.001398252,6062.065,47.87297,5.00129,559.6344
26021,2020/11/24 07:10:44.000,9.9093446079,6062.0747,47.91948,4.98116,488.7647
26022,2020/11/24 07:10:45.000,9.8172909639,6062.0786,47.95087,4.96104,231.60905
26023,2020/11/24 07:10:46.000,9.7252373198,6062.09,48.09272,5.1623,51.39761
26024,2020/11/24 07:10:47.000,9.6331836758,6062.096,48.18295,4.98116,89.86972
26025,2020/11/24 07:10:48.000,9.9184757606,6062.0967,48.11294,5.04154,272.10602
26026,2020/11/24 07:10:49.000,10.203767845,6062.0967,47.99622,5.0818,835.0137
26027,2020/11/24 07:10:50.000,10.48905993,6062.1094,47.91812,5.02142,992.9518
26028,2020/11/24 07:10:51.000,10.774352015,6062.118,47.93567,5.18243,1235.9335
26029,2020/11/24 07:10:52.000,11.0596441,6062.124,48.01795,5.22268,1379.6976
26030,2020/11/24 07:10:53.000,10.626985914,6062.129,48.05017,5.0818,1626.7291
26031,2020/11/24 07:10:54.000,10.194327727,6062.137,47.93421,5.00129,1825.1642
26032,2020/11/24 07:10:55.000,9.761669541,6062.145,47.82745,0.89548,992.9518
26033,2020/11/24 07:10:56.000,9.3290113547,6062.1646,47.93956,5.06167,428.0193
26034,2020/11/24 07:10:57.000,8.8963531684,6062.1665,47.99853,5.02142,97.96911
26035,2020/11/24 07:10:58.000,9.2523090719,6062.1665,48.12719,4.96104,112.14304
26036,2020/11/24 07:10:59.000,9.6082649754,6062.177,48.19474,5.12205,272.10602
26037,2020/11/24 07:11:00.000,9.964220879,6062.184,48.25299,3.31066,61.52185
26038,2020/11/24 07:11:01.000,10.320176782,6062.184,48.20024,4.92078,830.964
26039,2020/11/24 07:11:02.000,10.676132686,6062.184,48.15365,5.00129,934.2312
26040,2020/11/24 07:11:03.000,10.588116801,6062.184,47.9123,5.04154,1227.8341
26041,2020/11/24 07:11:04.000,10.500100916,6062.192,47.78853,5.30319,1408.0455
26042,2020/11/24 07:11:05.000,10.412085031,6062.206,47.90832,5.14218,1687.4745
26043,2020/11/24 07:11:06.000,10.324069146,6062.2104,47.9408,5.12205,1667.2261
26044,2020/11/24 07:11:07.000,10.236053261,6062.224,47.91175,4.98116,541.41077
26045,2020/11/24 07:11:08.000,10.083157579,6062.2334,48.05166,5.1623,385.49747
26046,2020/11/24 07:11:09.000,9.9302618978,6062.2373,48.11608,5.02142,225.53452
26047,2020/11/24 07:11:10.000,9.7773662163,6062.2417,48.33664,5.02142,120.24243
26048,2020/11/24 07:11:11.000,9.6244705347,6062.2417,48.43691,5.02142,201.23634
26049,2020/11/24 07:11:12.000,9.4715748531,6062.2417,48.46252,4.90066,292.3545
26050,2020/11/24 07:11:13.000,9.3890703738,6062.2417,48.39853,2.20371,23.04975
26051,2020/11/24 07:11:14.000,9.3065658945,6062.2417,48.23439,5.14218,952.45483
26052,2020/11/24 07:11:15.000,9.2240614152,6062.244,48.01438,4.88053,1244.033
26053,2020/11/24 07:11:16.000,9.1415569359,6062.258,47.9579,5.06167,1333.1262
26054,2020/11/24 07:11:17.000,9.0590524566,6062.2656,47.97305,5.02142,1624.7042
26055,2020/11/24 07:11:18.000,9.4476936133,6062.27,47.93165,4.94091,1804.9156
26056,2020/11/24 07:11:19.000,9.83633477,6062.279,47.8229,4.96104,318.67752
26057,2020/11/24 07:11:20.000,10.224975927,6062.2925,47.70426,5.14218,456.36716
26058,2020/11/24 07:11:21.000,10.613617083,6062.3135,47.74229,4.96104,209.33574
26059,2020/11/24 07:11:22.000,11.00225824,6062.3286,47.92565,5.12205,185.03757
26060,2020/11/24 07:11:23.000,10.860403544,6062.3438,48.11377,5.00129,215.41028
26061,2020/11/24 07:11:24.000,10.718548848,6062.3438,48.11377,5.14218,209.33574
26062,2020/11/24 07:11:25.000,10.576694153,6062.357,48.22202,1.35839,1549.7849
26063,2020/11/24 07:11:26.000,10.434839457,6062.359,48.25117,4.98116,855.26215
26064,2020/11/24 07:11:27.000,10.292984761,6062.359,48.24784,5.06167,1120.5172
26065,2020/11/24 07:11:28.000,10.01389471,6062.367,48.24607,5.14218,1395.8965
26066,2020/11/24 07:11:29.000,9.734804659,6062.367,48.36668,4.96104,1515.3624
26067,2020/11/24 07:11:30.000,9.4557146081,6062.367,48.28577,4.96104,1705.6981
26068,2020/11/24 07:11:31.000,9.1766245571,6062.367,48.28577,4.88053,1857.5618
26069,2020/11/24 07:11:32.000,8.8975345061,6062.367,48.113,4.1761,1430.3188
26070,2020/11/24 07:11:33.000,8.9835860349,6062.3794,47.75759,5.06167,604.181
26071,2020/11/24 07:11:34.000,9.0696375637,6062.3857,47.71039,5.18243,470.54108
26072,2020/11/24 07:11:35.000,9.1556890924,6062.409,47.8346,5.14218,83.79517
26073,2020/11/24 07:11:36.000,9.2417406212,6062.4155,47.89435,5.06167,10.90066
26074,2020/11/24 07:11:37.000,9.32779215,6062.435,48.17128,4.88053,65.57155
26075,2020/11/24 07:11:38.000,9.3620600963,6062.44,48.22803,5.12205,1843.3878
26076,2020/11/24 07:11:39.000,9.3963280426,6062.44,48.33695,5.04154,1011.1754
26078,2020/11/24 07:11:41.000,9.4648639353,6062.4453,48.42185,5.0818,1260.2317
26079,2020/11/24 07:11:42.000,9.4991318816,6062.4453,48.49937,4.98116,1533.586
26080,2020/11/24 07:11:43.000,9.5317080881,6062.4453,48.4943,5.22268,1772.5182
26081,2020/11/24 07:11:44.000,9.5642842946,6062.4453,48.45172,5.20256,1956.7793
26082,2020/11/24 07:11:45.000,9.5968605011,6062.4453,48.38129,3.08927,1896.0338
26083,2020/11/24 07:11:46.000,9.6294367076,6062.4453,48.10236,5.0818,598.1065
26084,2020/11/24 07:11:47.000,9.6620129141,6062.4546,47.88309,4.96104,442.1932
26085,2020/11/24 07:11:48.000,9.6679786805,6062.4663,47.77342,5.20256,160.7394
26086,2020/11/24 07:11:49.000,9.6739444468,6062.4795,47.93,5.14218,93.91942
26087,2020/11/24 07:11:50.000,9.6799102132,6062.4893,48.05987,5.32331,164.78908
26088,2020/11/24 07:11:51.000,9.6858759795,6062.5,48.18595,4.19623,241.73329
26089,2020/11/24 07:11:52.000,9.6918417459,6062.5005,48.12786,4.98116,936.25604
26090,2020/11/24 07:11:53.000,9.8181451617,6062.51,48.12578,5.10192,1124.5669
26091,2020/11/24 07:11:54.000,9.9444485775,6062.512,48.23728,5.02142,1239.9832
26092,2020/11/24 07:11:55.000,10.070751993,6062.5127,48.28894,5.02142,1383.7474
26093,2020/11/24 07:11:56.000,10.197055409,6062.5127,48.32597,5.0818,1640.9031
26094,2020/11/24 07:11:57.000,10.323358825,6062.5127,48.28709,5.0818,1825.1642
26095,2020/11/24 07:11:58.000,10.07453531,6062.5127,48.20401,5.18243,502.93866
26096,2020/11/24 07:11:59.000,9.8257117956,6062.5127,48.04234,5.12205,454.34232
26097,2020/11/24 07:12:00.000,9.576888281,6062.5273,47.93812,5.06167,225.53452
26098,2020/11/24 07:12:01.000,9.3280647663,6062.5283,47.97539,4.96104,41.27338
26099,2020/11/24 07:12:02.000,9.0792412516,6062.533,47.99837,5.12205,178.96301
26100,2020/11/24 07:12:03.000,9.0257114061,6062.5415,48.09187,3.93459,112.14304
26101,2020/11/24 07:12:04.000,8.9721815605,6062.5415,48.05619,5.04154,885.6349
26102,2020/11/24 07:12:05.000,8.918651715,6062.5474,47.88811,4.92078,1063.8214
26103,2020/11/24 07:12:06.000,8.8651218694,6062.554,47.88336,4.98116,1408.0455
26104,2020/11/24 07:12:07.000,8.8115920239,6062.5645,47.93291,5.06167,1667.2261
26105,2020/11/24 07:12:08.000,8.901481393,6062.577,47.95576,4.96104,1634.8285
26106,2020/11/24 07:12:09.000,8.9913707621,6062.583,47.91099,5.02142,1833.2635
26107,2020/11/24 07:12:10.000,9.0812601311,6062.593,47.73837,4.86041,594.05676
26108,2020/11/24 07:12:11.000,9.1711495002,6062.5977,47.75925,5.0818,484.71503
26109,2020/11/24 07:12:12.000,9.2610388693,6062.6147,47.82757,4.96104,217.43512
26115,2020/11/24 07:12:34.000,8.9428979616,6062.751,47.98597,5.1623,261.98178
26116,2020/11/24 07:12:35.000,9.3678259441,6062.7603,47.85726,5.04154,484.71503
26117,2020/11/24 07:12:36.000,9.7927539265,6062.7773,47.9205,5.00129,207.31088
26118,2020/11/24 07:12:37.000,10.217681909,6062.781,47.98085,5.04154,106.0685
26119,2020/11/24 07:12:38.000,10.213716848,6062.7837,48.05362,5.04154,152.64
26120,2020/11/24 07:12:39.000,10.209751786,6062.792,48.09961,4.92078,294.37933
26121,2020/11/24 07:12:40.000,10.205786725,6062.794,48.02694,5.18243,865.38635
26122,2020/11/24 07:12:41.000,10.201821663,6062.799,47.97681,4.98116,997.00146
26123,2020/11/24 07:12:42.000,10.197856602,6062.8037,47.96983,4.92078,1239.9832
26124,2020/11/24 07:12:43.000,9.859089195,6062.809,47.99503,4.98116,1349.325
26125,2020/11/24 07:12:44.000,9.520321788,6062.818,48.00735,5.18243,1545.7352
26126,2020/11/24 07:12:45.000,9.1815543809,6062.821,47.93691,5.18243,1711.7727
26127,2020/11/24 07:12:46.000,8.8427869739,6062.8354,47.83125,4.15598,504.9635
26128,2020/11/24 07:12:47.000,8.5040195669,6062.847,47.81836,4.86041,470.54108
26129,2020/11/24 07:12:48.000,8.5213352843,6062.857,47.96622,5.18243,401.69626
26130,2020/11/24 07:12:49.000,8.5386510018,6062.864,48.0652,4.88053,0.0
26131,2020/11/24 07:12:50.000,8.5559667192,6062.867,48.19687,5.10192,71.64609
26132,2020/11/24 07:12:51.000,8.5732824367,6062.867,48.19732,5.04154,225.53452
26133,2020/11/24 07:12:52.000,8.5905981541,6062.867,48.055,3.06915,294.37933
26134,2020/11/24 07:12:53.000,8.8892227207,6062.8765,47.90275,5.06167,988.9021
26135,2020/11/24 07:12:54.000,9.1878472873,6062.8804,47.90125,5.22268,1148.8651
26136,2020/11/24 07:12:55.000,9.4864718538,6062.888,47.84699,5.22268,1410.0704
26137,2020/11/24 07:12:56.000,9.7850964204,6062.9023,47.77649,5.12205,1687.4745
26138,2020/11/24 07:12:57.000,10.083720987,6062.909,47.72758,4.94091,1881.8599
26139,2020/11/24 07:12:58.000,10.254077781,6062.9287,47.65359,5.02142,598.1065
26140,2020/11/24 07:12:59.000,10.424434576,6062.9424,47.72295,5.20256,513.06287
26141,2020/11/24 07:13:00.000,10.59479137,6062.9487,47.79549,5.02142,383.47263
26142,2020/11/24 07:13:01.000,10.765148165,6062.9614,48.0258,5.00129,180.98787
26143,2020/11/24 07:13:02.000,10.935504959,6062.975,48.24669,4.96104,23.04975
26144,2020/11/24 07:13:03.000,10.565962132,6062.981,48.40926,4.90066,138.46606
26145,2020/11/24 07:13:04.000,10.196419305,6062.981,48.37449,2.36472,594.05676
26146,2020/11/24 07:13:05.000,9.8268764773,6062.981,48.32558,4.86041,984.8524
26147,2020/11/24 07:13:06.000,9.45733365,6062.981,48.17663,4.7799,1126.5917
26148,2020/11/24 07:13:07.000,9.0877908228,6062.9814,48.03342,5.04154,1349.325
26149,2020/11/24 07:13:08.000,9.187501973,6062.989,48.01411,4.96104,1531.5613
26150,2020/11/24 07:13:09.000,9.2872131232,6062.9976,47.95057,4.98116,1709.7479
26151,2020/11/24 07:13:10.000,9.3869242733,6063.0015,47.84328,3.55218,1448.5425
26152,2020/11/24 07:13:11.000,9.4866354235,6063.02,47.73474,4.90066,359.17447
26153,2020/11/24 07:13:12.000,9.5863465737,6063.0405,48.01033,5.12205,268.0563
26154,2020/11/24 07:13:13.000,9.3718455286,6063.045,48.15277,4.96104,71.64609
26155,2020/11/24 07:13:14.000,9.1573444834,6063.0493,48.3563,5.0818,0.0
26156,2020/11/24 07:13:15.000,8.9428434383,6063.0493,48.3563,5.1623,126.31698
26157,2020/11/24 07:13:16.000,8.7283423931,6063.0493,48.41074,4.80003,79.74548
26158,2020/11/24 07:13:17.000,8.513841348,6063.0493,48.18349,4.96104,843.11304
26159,2020/11/24 07:13:18.000,8.9386602838,6063.0493,47.99828,4.98116,1071.9209
26160,2020/11/24 07:13:19.000,9.3634792196,6063.0586,47.90154,5.1623,1333.1262
26161,2020/11/24 07:13:20.000,9.7882981554,6063.0674,47.91294,5.00129,1515.3624
26162,2020/11/24 07:13:21.000,10.213117091,6063.076,47.86046,4.98116,1695.574
26163,2020/11/24 07:13:22.000,10.637936027,6063.089,47.84765,3.89433,1365.5238
26164,2020/11/24 07:13:23.000,10.171009894,6063.101,47.8954,4.94091,577.85803
26165,2020/11/24 07:13:24.000,9.7040837619,6063.105,47.94453,5.12205,472.56592
26166,2020/11/24 07:13:25.000,9.2371576293,6063.114,48.11384,5.12205,99.99396
26167,2020/11/24 07:13:26.000,8.7702314968,6063.1216,48.28287,5.00129,16.9752
26168,2020/11/24 07:13:27.000,8.3033053642,6063.123,48.28793,5.10192,183.01271
26169,2020/11/24 07:13:28.000,8.6689921768,6063.123,48.17413,3.97484,2062.0713
26170,2020/11/24 07:13:29.000,9.0346789893,6063.123,48.02723,5.04154,944.35547
26171,2020/11/24 07:13:30.000,9.4003658019,6063.1323,47.8876,5.26293,1189.362
26172,2020/11/24 07:13:31.000,9.7660526144,6063.138,47.86345,5.18243,1432.3438
26173,2020/11/24 07:13:32.000,10.131739427,6063.1426,47.81455,5.14218,1565.9836
26174,2020/11/24 07:13:33.000,10.015057873,6063.153,47.7471,4.96104,1839.3381
26175,2020/11/24 07:13:34.000,9.8983763199,6063.172,47.59827,2.84775,1659.1267
26176,2020/11/24 07:13:35.000,9.7816947663,6063.1865,47.47098,5.26293,569.7586
26177,2020/11/24 07:13:36.000,9.6650132128,6063.2036,47.4804,5.10192,401.69626
26178,2020/11/24 07:13:37.000,9.5483316592,6063.219,47.71104,5.06167,144.5406
26179,2020/11/24 07:13:38.000,9.6226515739,6063.2305,48.06451,5.10192,25.07459
26180,2020/11/24 07:13:39.000,9.6969714887,6063.231,48.17139,5.22268,130.36667
26181,2020/11/24 07:13:40.000,9.7712914034,6063.231,48.23338,4.1761,211.36058
26182,2020/11/24 07:13:41.000,9.8456113182,6063.231,48.15284,4.98116,926.13184
26183,2020/11/24 07:13:42.000,9.9199312329,6063.231,48.0032,5.12205,982.8276
26184,2020/11/24 07:13:43.000,9.6903877918,6063.242,47.95031,5.04154,1134.6912
26185,2020/11/24 07:13:44.000,9.4608443507,6063.251,48.13158,5.14218,1345.2753
26186,2020/11/24 07:13:45.000,9.2313009096,6063.252,48.1682,5.02142,1768.4685
26187,2020/11/24 07:13:46.000,9.0017574685,6063.2524,48.05985,5.04154,1968.9283
26188,2020/11/24 07:13:47.000,8.7722140274,6063.2524,47.94804,5.0818,500.9138
26189,2020/11/24 07:13:48.000,9.0498122571,6063.2656,47.81114,5.00129,436.11868
26190,2020/11/24 07:13:49.000,9.3274104868,6063.2705,47.90205,5.10192,207.31088
26191,2020/11/24 07:13:50.000,9.6050087166,6063.274,47.92531,5.04154,150.61514
26192,2020/11/24 07:13:51.000,9.8826069463,6063.281,48.07006,5.0818,195.1618
26193,2020/11/24 07:13:52.000,10.160205176,6063.281,48.02637,3.31066,37.22368
26194,2020/11/24 07:13:53.000,10.085285505,6063.293,47.96821,5.06167,907.9082
26195,2020/11/24 07:13:54.000,10.010365835,6063.2935,47.97569,5.06167,1171.1384
26196,2020/11/24 07:13:55.000,9.9354461638,6063.2993,47.96492,5.04154,1312.8777
26197,2020/11/24 07:13:56.000,9.860526493,6063.307,48.04225,5.28306,1531.5613
26198,2020/11/24 07:13:57.000,9.7856068223,6063.307,48.02026,5.22268,1638.8782
26199,2020/11/24 07:13:58.000,9.8469759182,6063.317,47.87343,4.71952,1833.2635
26200,2020/11/24 07:13:59.000,9.9083450142,6063.3257,47.84318,3.65281,585.9574
26201,2020/11/24 07:14:00.000,9.9697141101,6063.331,47.87009,4.98116,450.2926
26202,2020/11/24 07:14:01.000,10.031083206,6063.341,47.95854,4.96104,349.05023
26203,2020/11/24 07:14:02.000,10.092452302,6063.3467,48.10983,5.10192,134.41637
26204,2020/11/24 07:14:03.000,9.9853017388,6063.3496,48.20335,4.92078,272.10602
26205,2020/11/24 07:14:04.000,9.8781511756,6063.3496,48.14919,3.29054,83.79517
26206,2020/11/24 07:14:05.000,9.7710006125,6063.35,47.96546,5.14218,954.4797
26207,2020/11/24 07:14:06.000,9.6638500493,6063.3613,47.88759,5.02142,1116.4675
26208,2020/11/24 07:14:07.000,9.5566994861,6063.3667,47.93731,5.10192,1256.182
26209,2020/11/24 07:14:08.000,9.7598142313,6063.371,48.00341,5.20256,1626.7291
26210,2020/11/24 07:14:09.000,9.9629289765,6063.376,47.99601,5.0818,1790.7418
26211,2020/11/24 07:14:10.000,10.166043722,6063.383,47.90662,4.98116,1853.5121
26212,2020/11/24 07:14:11.000,10.369158467,6063.387,47.80171,5.20256,555.5847
26213,2020/11/24 07:14:12.000,10.572273212,6063.392,47.79742,5.22268,454.34232
26214,2020/11/24 07:14:13.000,10.235415638,6063.4155,47.97756,5.10192,195.1618
26215,2020/11/24 07:14:14.000,9.8985580638,6063.4233,48.1263,4.98116,0.0
26216,2020/11/24 07:14:15.000,9.5617004896,6063.4233,48.27313,5.04154,300.4539
26217,2020/11/24 07:14:16.000,9.2248429155,6063.4233,48.28722,2.70687,243.75815
26218,2020/11/24 07:14:17.000,8.8879853414,6063.4233,48.22958,5.04154,920.05725
26219,2020/11/24 07:14:18.000,8.939478133,6063.429,48.01628,4.92078,986.87726
26220,2020/11/24 07:14:19.000,8.9909709246,6063.431,48.02336,5.26293,1242.008
26221,2020/11/24 07:14:20.000,9.0424637163,6063.4375,47.97776,5.00129,1503.2134
26222,2020/11/24 07:14:21.000,9.0939565079,6063.443,47.94044,4.98116,1687.4745
26223,2020/11/24 07:14:22.000,9.1454492995,6063.4473,47.82158,4.29686,1448.5425
26224,2020/11/24 07:14:23.000,9.0385350038,6063.454,47.74474,5.04154,569.7586
26225,2020/11/24 07:14:24.000,8.9316207082,6063.468,47.60967,5.12205,369.2987
26226,2020/11/24 07:14:25.000,8.8247064125,6063.4883,47.77604,5.22268,393.59686
26227,2020/11/24 07:14:26.000,8.7177921169,6063.495,47.87934,5.24281,162.76424
26228,2020/11/24 07:14:27.000,8.6108778212,6063.5083,48.0133,5.10192,65.57155
26229,2020/11/24 07:14:28.000,8.7119717459,6063.5186,48.18464,4.96104,296.40417
26230,2020/11/24 07:14:29.000,8.8130656706,6063.528,48.10501,5.1623,924.107
26231,2020/11/24 07:14:30.000,8.9141595954,6063.5317,48.13593,5.02142,1023.3245
26232,2020/11/24 07:14:31.000,9.0152535201,6063.5356,48.213,5.06167,1377.6729
26233,2020/11/24 07:14:32.000,9.1163474448,6063.5356,48.26054,4.98116,1476.8904
26234,2020/11/24 07:14:33.000,9.1165837123,6063.5356,48.26205,5.10192,1719.8721
26235,2020/11/24 07:14:34.000,9.1168199799,6063.5356,48.24864,5.18243,1792.7666
26236,2020/11/24 07:14:35.000,9.1170562474,6063.5356,48.0073,4.96104,515.0877
26237,2020/11/24 07:14:36.000,9.117292515,6063.5474,47.8362,5.12205,413.84534
26238,2020/11/24 07:14:37.000,9.1175287825,6063.558,47.79539,5.12205,401.69626
26239,2020/11/24 07:14:38.000,9.1232946302,6063.569,47.85023,5.04154,53.42246
26240,2020/11/24 07:14:39.000,9.1290604779,6063.5786,47.99263,4.98116,166.81393
26241,2020/11/24 07:14:40.000,9.1348263255,6063.583,48.02055,5.14218,375.37323
26242,2020/11/24 07:14:41.000,9.1405921732,6063.591,47.95065,5.04154,837.0385
26243,2020/11/24 07:14:42.000,9.1463580209,6063.6025,47.92365,5.18243,982.8276
26244,2020/11/24 07:14:43.000,9.4410175261,6063.612,48.01087,4.84028,1183.2875
26245,2020/11/24 07:14:44.000,9.7356770313,6063.616,48.04212,5.02142,1327.0516
26246,2020/11/24 07:14:45.000,10.030336537,6063.6206,48.10528,5.04154,1642.9279
26247,2020/11/24 07:14:46.000,10.324996042,6063.6255,48.0832,5.1623,1827.1891
26248,2020/11/24 07:14:47.000,10.619655547,6063.637,47.8398,4.90066,567.73376
26249,2020/11/24 07:14:48.000,10.342020968,6063.644,47.82981,5.02142,373.3484
26250,2020/11/24 07:14:49.000,10.06438639,6063.662,47.99133,5.04154,316.65265
26251,2020/11/24 07:14:50.000,9.7867518111,6063.667,48.08376,5.12205,170.86363
26252,2020/11/24 07:14:51.000,9.5091172325,6063.667,48.27658,5.14218,205.28604
26253,2020/11/24 07:14:52.000,9.2314826539,6063.667,48.24768,4.23648,77.72063
26254,2020/11/24 07:14:53.000,9.8227841951,6063.67,48.06555,4.35724,1491.0643
26255,2020/11/24 07:14:54.000,10.414085736,6063.676,48.01525,4.92078,964.60394
26256,2020/11/24 07:14:55.000,11.005387278,6063.676,48.01295,5.1623,1260.2317
26257,2020/11/24 07:14:56.000,11.596688819,6063.685,47.90137,5.00129,1385.7722
26258,2020/11/24 07:14:57.000,12.18799036,6063.69,47.84318,5.1623,1665.2012
26259,2020/11/24 07:14:58.000,12.167036721,6063.702,47.8165,5.00129,1855.5369
26260,2020/11/24 07:14:59.000,12.146083082,6063.72,47.6993,5.10192,537.3611
26261,2020/11/24 07:15:00.000,12.125129442,6063.7344,47.78647,4.96104,444.21808
26262,2020/11/24 07:15:01.000,12.104175803,6063.748,48.00226,5.12205,266.03146
26263,2020/11/24 07:15:02.000,12.083222164,6063.754,48.1028,5.1623,75.69579
26264,2020/11/24 07:15:03.000,11.543686031,6063.7583,48.25488,4.92078,35.19883
26265,2020/11/24 07:15:04.000,11.004149898,6063.7583,48.31444,4.92078,292.3545
26266,2020/11/24 07:15:05.000,10.464613765,6063.7583,48.31519,2.98864,124.29213
26267,2020/11/24 07:15:06.000,9.9250776318,6063.7583,48.13298,5.02142,946.3803
26268,2020/11/24 07:15:07.000,9.3855414988,6063.771,47.97837,4.92078,1276.4304
26269,2020/11/24 07:15:08.000,9.2650039306,6063.7793,48.02494,4.98116,1401.9711
26270,2020/11/24 07:15:09.000,9.1444663624,6063.7827,48.05954,5.06167,1626.7291
26271,2020/11/24 07:15:10.000,9.0239287941,6063.7847,48.13789,5.12205,1813.0151
26272,2020/11/24 07:15:11.000,8.9033912259,6063.7847,48.07156,4.7799,454.34232
26273,2020/11/24 07:15:12.000,8.7828536577,6063.7847,47.94129,5.20256,462.44168
26274,2020/11/24 07:15:13.000,8.9262728723,6063.796,47.85988,5.1623,385.49747
26275,2020/11/24 07:15:14.000,9.0696920869,6063.808,47.96231,5.14218,120.24243
26276,2020/11/24 07:15:15.000,9.2131113016,6063.8115,47.98838,5.0818,95.94426
26277,2020/11/24 07:15:16.000,9.3565305162,6063.815,48.00588,5.02142,259.95694
26278,2020/11/24 07:15:17.000,9.4999497308,6063.8184,48.04791,1.23763,1612.5552
26279,2020/11/24 07:15:18.000,9.7487732454,6063.8257,47.95858,5.0818,1007.12573
26280,2020/11/24 07:15:19.000,9.9975967601,6063.8354,47.95573,5.02142,1213.6602
26281,2020/11/24 07:15:20.000,10.246420275,6063.8354,47.98193,5.1623,1359.4492
26282,2020/11/24 07:15:21.000,10.495243789,6063.844,47.97509,4.94091,1616.6049
26283,2020/11/24 07:15:22.000,10.744067304,6063.8555,47.86024,5.00129,1808.9655
